word,avg_f1,avg_acc,Lemma,pos,entropy,num_senses,freq,Part of Speech
thing.n,0.4570544736723445,0.46952104499274305,thing.n,n,2.8128685083668987,8,264,Noun
meet.v,0.6544075252653684,0.6501501501501501,meet.v,v,2.774647520362166,9,214,Verb
lead.v,0.6223365095220545,0.6372413793103447,lead.v,v,2.6849820403861235,7,170,Verb
serve.v,0.7152480807541536,0.7164642375168692,serve.v,v,2.3591474949708653,6,194,Verb
give.v,0.4871197065764748,0.4956535947712418,give.v,v,2.2685383380798423,9,704,Verb
raise.v,0.9033636893671495,0.9051470588235293,raise.v,v,2.2346691008318262,5,111,Verb
cover.v,0.5277240087954373,0.523809523809524,cover.v,v,2.1594706670121715,5,118,Verb
play.v,0.8399821036543049,0.838846153846154,play.v,v,2.151680381933271,5,205,Verb
grow.v,0.8417298511847384,0.85,grow.v,v,2.10343769975151,5,157,Verb
apply.v,0.9061130535316619,0.906842105263158,apply.v,v,1.7492714658814048,4,102,Verb
life.n,0.6207535846169453,0.6285714285714286,life.n,n,2.0401576355655684,5,217,Noun
follow.v,0.6488031523346302,0.6511627906976744,follow.v,v,2.018523343237657,7,243,Verb
time.n,0.7687893675874905,0.7727066584209441,time.n,n,2.002841765003737,5,505,Noun
find.v,0.4009786126977537,0.40887445887445883,find.v,v,1.996949982035844,6,663,Verb
trouble.n,0.5437004970338303,0.5555555555555556,trouble.n,n,1.5503479964504263,3,45,Noun
deny.v,0.5991257631257632,0.6247619047619047,deny.v,v,1.9701081301924128,4,72,Verb
discover.v,0.31103479853479854,0.3282051282051282,discover.v,v,1.958847071281816,4,70,Verb
line.n,0.858808845475512,0.8638888888888889,line.n,n,1.912233987622732,5,100,Noun
make.v,0.643116709297914,0.6564690382081687,make.v,v,1.9039109280197704,7,1401,Verb
show.v,0.5331150826596927,0.5441400304414004,show.v,v,1.5837378380198661,4,381,Verb
feel.v,0.6823781112623599,0.6925,feel.v,v,1.8949218437492208,5,403,Verb
death.n,0.6122616076733723,0.6114285714285714,death.n,n,1.8943249017489556,4,103,Noun
accept.v,0.548313625372449,0.5573099415204679,accept.v,v,1.8885521626143795,4,93,Verb
reach.v,0.6865638146023703,0.6995570321151717,reach.v,v,1.8782203264261244,5,213,Verb
wish.v,0.6861217948717948,0.691025641025641,wish.v,v,1.4366061768728948,3,72,Verb
world.n,0.5882292082494922,0.5970443349753694,world.n,n,1.403638625391077,3,149,Noun
force.n,0.7216385096385096,0.7285714285714285,force.n,n,1.8614004981280572,4,84,Noun
call.v,0.786569861136732,0.7897009966777409,call.v,v,1.850006160954403,4,223,Verb
write.v,0.5700594467058666,0.5814901960784313,write.v,v,1.8351129948246672,5,271,Verb
system.n,0.8044879201680672,0.8,system.n,n,1.8320763134989262,4,98,Noun
set.v,0.8024420024420025,0.8,set.v,v,1.8314216022357548,4,83,Verb
history.n,0.5251453634085212,0.523157894736842,history.n,n,1.798130236438496,4,99,Noun
