sense,sentence,centroid_cs
even.r.02,"Every dream , and this is true of a mental image of any type even though it may be readily interpreted into its equivalent of wakeful thought , is a psychic phenomenon for which no explanation is available .",0.878563187561079
even.r.02,"We leap from event to event - including the formation of the posse - even though the events , in `` reality '' are taking place not in sequence but simultaneously , and not near each other but at a considerable distance .",0.8488210685738288
even.r.02,"The unifying effect of religion is also brought out in the fact that historically peoples have clung together as more or less cohesive cultural units , with religion as the dominant bond , even though spatially dispersed and not politically organized .",0.8468061479506233
even.r.02,"Of course , these works are not comparable , even though the same brain conceived them .",0.8429779321633026
even.r.02,"The Fisher Body division , long controlled by the Fisher brothers under a voting trust even though General Motors owned a majority of its stock , followed an independent course for many years , but by 1947 and 1948 `` resistance had collapsed '' and its purchases from du Pont `` compared favorably '' with purchases by other General Motors divisions .",0.8449957878061833
even.r.02,Such interest must be paid even though an extension of time for filing is granted .,0.8983401929867348
even.r.02,They also deduct transportation expenses incurred in connection with the performance of services as employees even though they are not away from home .,0.8873123896598291
even.r.02,"A minor is subject to tax on his own earnings even though his parent may , under local law , have the right to them and might actually have received the money .",0.9249722808871451
even.r.02,"If your child is under 19 or is a student you may also claim an exemption for him if he qualifies as your dependent , even though he earns $ 600 or more .",0.8654420029570153
even.r.02,"You may deduct these payments even though your child uses the money to purchase his own clothing or other necessities which you are normally obligated to furnish him , and even though you may be entitled to his services .",0.9133537472725787
even.r.02,"You may deduct these payments even though your child uses the money to purchase his own clothing or other necessities which you are normally obligated to furnish him , and even though you may be entitled to his services .",0.9133537472725787
even.r.02,"If * * f leads to an address * * f that is equal to the address computed from * * f , even though * * f does not match * * f , the chain of information cells is extended from * * f by storing the address of the next available cell in the Y-region , * * f , in * * f .",0.8517886843538128
even.r.02,"There is little evidence that existing public or private training programs have any great difficulty getting students to enroll in their programs , even though they must pay tuition , receive no subsistence payments , and are not guaranteed a job .",0.8662843619617101
even.r.01,"A Texas halfback who does n't even know the team 's plays , Eldon Moritz , ranks fourth in Southwest Conference scoring after three games .",0.6762668037582843
even.r.01,Moritz does n't even have a nose guard or hip pads but he 's one of the most valuable members of the Longhorn team that will be heavily favored Saturday over Oklahoma in the cotton bowl .,0.717168085607496
even.r.01,He 'll even bull head-on into the rules when he is sure he 's right .,0.7425386566556426
even.r.01,"If the record buyer 's tastes are somewhat eclectic or even the slightest bit esoteric , he will find them satisfied on educational records .",0.7314108841836118
even.r.01,But even mother 's loving attitude will not always prevent misbehavior .,0.7841653710694024
even.r.01,"Capable as their minds may be in some directions , these guardians of the nation 's security are incapable of learning , or even of observing .",0.7817838482261045
even.r.01,"The Macmillan government might be willing to let him go , but he has been dead seventy-eight years and even the Soviet morticians could not make him look presentable .",0.7828577435514906
even.r.01,Even in areas where political connotations are ( deliberately ? ),0.7320361298315478
even.r.01,"Not the noblest performance we have heard him play , or the most spacious , or even the most eloquent .",0.7818262392174294
even.r.01,Even Joan Sutherland may not have anticipated the tremendous reception she received from the Metropolitan Opera audience attending her debut as Lucia in Donizetti 's `` Lucia di Lammermoor '' Sunday night .,0.770775096306485
even.r.01,"Her entrance in Scene 2 , Act 1 , brought some disconcerting applause even before she had sung a note .",0.686969458183086
even.r.01,In some of the numbers the instrumental parts have even been recorded at different times and then later combined on the master tape to produce special effects .,0.7774489259641467
even.r.01,The big audience started applauding even before he had finished .,0.6135893814822416
even.r.01,"Such fascinating novelties in the score as the fugual treatment of `` On the Side of the Angels '' and `` Politics and Poker '' were handled splendidly , and I thought Rudy Bond and his band of tuneful ward-heelers made `` Little Tin Box '' even better than it was done by the New York cast ; all the words of its clever lyrics came through with perfect clarity .",0.5924875473950414
even.r.01,In our disbelief we think that we can no longer even use the word and so are unable to even name the elemental power which is so vividly real in this play .,0.7249935376752297
even.r.01,In our disbelief we think that we can no longer even use the word and so are unable to even name the elemental power which is so vividly real in this play .,0.7249935376752297
even.r.01,Even Mr. Miller himself seems uncertain on this score .,0.7457373140335736
even.r.01,"His point is not that mythology may not be used , but that it may no longer be regarded as the only or even the most appropriate conceptuality for expressing the Christian kerygma .",0.7658516534680249
even.r.01,"On the contrary , even in the heart of `` the Bible belt '' itself , as can be attested by any one who is called to work there , the industrial and technological revolutions have long been under way , together with the corresponding changes in man 's picture of himself and his world .",0.7898082336021403
even.r.01,"However , even if the latent demand for demythologization is not nearly as widespread as we are claiming , at least among the cultured elements of the population there tends to be an almost complete indifference to the church and its traditional message of sin and grace .",0.7456373024843113
even.r.01,"But the main point here is that even if such a restatement were not possible , the demand to demythologize the kerygma would still be unavoidable .",0.7163824416606058
even.r.01,"In any case , I have always been treated with the utmost courtesy by Englishmen , even in Devonshire and Cornwall , where anti Catholic feeling has supposedly existed the strongest and longest .",0.7677669718176438
even.r.01,"A century ago , Newman saw that liberalism ( what we now might call secularism ) would gradually but definitely make its mark on English Protestantism , and that even high Anglicanism would someday no longer be a `` serviceable breakwater against doctrinal errors more fundamental than its own '' .",0.7791843957153165
even.r.01,"And even as she , having indeed a husband , Adam , but being nevertheless as yet a virgin , having become disobedient , was made the cause of death , both to herself and to the entire human race ; so also did Mary , having a man betrothed [ to her ] , and being nevertheless a virgin , by yielding obedience , become the cause of salvation , both to herself and the whole human race '' .",0.6701733675070126
even.r.01,"Nevertheless , even at the nadir of the circuit the spiral of history belongs to God , and he still rules .",0.7799718573878431
even.r.01,"Even death , therefore , has a providential as well as a punitive function .",0.7417528033445976
even.r.01,"Why it was ever forgotten for even a moment I cannot say because it works perfectly for everyone , no matter whether he has short or long thigh-bone lengths !",0.6642758834688988
even.r.01,"It speeds muscle growth and power development even for the advanced bodybuilder because each hip and leg is exercised separately , thus enabling a massive , concentrated effort to be focused on each .",0.7341666720618917
even.r.01,"Good taste and versatility , plus safety from spray poisons would be enough to recommend the frequent use of such a fruit , even if its nutritional values were limited .",0.6647307371753421
even.r.01,Even the boys will not be outstanding in these areas .,0.7780834254844325
even.r.01,"This is n't surprising when we consider that over 29 percent of the 11 - year old boys in America cannot chin themselves once , and that English school girls outdo them in almost every test ( even dashes and endurance ) .",0.6963329074687963
even.r.01,"Even if gymnastics are not the ultimate goal , the good tumbler will be a better dancer , a better athlete , and a human being with a greater margin of safety in any activity .",0.7536583496488416
even.r.01,"And dancing school , so helpful in artistic and psychological development , also contributes to this essential early training - and can contribute even more .",0.5920253424017718
even.r.01,"It is true that most architectural schools have five year courses , some even have six or more .",0.7850100906943026
even.r.01,"Yet even here many a problem is presented ; as in a recent design competition with a floor plan and the simple command - `` design a luxury apartment '' ; no description of the client or his cultural level , no assertion of geographical area or local social necessities - simply `` a luxury apartment '' .",0.7756868507414036
even.r.01,Even the `` history of furniture '' can hardly be taught exclusively from photographs and lantern slides .,0.7959020788343769
even.r.01,"The largest of these organizations at present denies to the full time educator any vote on the conduct and standards of the group and , indeed , refuses him even the right to attach the customary initials after his name in the college catalog .",0.7704202157649404
even.r.01,"In spite of this , many universities offer adequate and even distinguished courses in the subject .",0.7960931833585252
even.r.01,"The basic mystery of dreams , which embraces all the others and challenges us from even the most common typical dream , is in the fact that they are original , visual continuities .",0.8207482506643015
even.r.01,"If deja vu is an illusion , then peculiarly , it is a most prevalent mental disturbance affecting even the most level-headed people .",0.7711315315125188
even.r.01,"Unfortunately , few of the artists ( writers , movie producers , dramatists and musicians ) who have used American folklore since 1900 have known enough to distinguish between the two streams even in the most general of ways .",0.8130257547635191
even.r.01,The problems confuse even the experts .,0.7453413841301473
even.r.01,And so well is such ignorance preserved by the amateur and the money-maker that even at the college level most of the hundred odd folklore courses given in the United States survive on sentiment and nationalism alone .,0.8049486678551142
even.r.01,"Of the two , Porter is justly the better known , for he went far beyond the vital finding of fiction for films to take the first step toward fashioning a language of film , toward making the motion picture the intricate , efficient time machine that it has remained since , even in the most inept hands .",0.7488564068260924
even.r.01,"Physically , a movie is possible because a series of images is projected one at a time at such a speed that the eye `` remembers '' the one that has gone before even as it registers the one now appearing .",0.7507711172407221
even.r.01,"The `` projection '' time of painting and sculpture is highly subjective , varying from person to person and even varying for a given person on different occasions .",0.7535505413366407
even.r.01,"The race problem has tended to obscure other , less emotional , issues which may fundamentally be even more divisive .",0.6656391691105521
even.r.01,"It appears to be one of intense dislike , which he makes little effort to conceal even in the presence of Southern friends .",0.7516272713803341
even.r.01,"Also , we should not even to-day discount the fact that a region such as the coastal lowlands centering on Charleston had closer ties with England and the West Indies than with the North even after independence .",0.7392410527855059
even.r.01,"Also , we should not even to-day discount the fact that a region such as the coastal lowlands centering on Charleston had closer ties with England and the West Indies than with the North even after independence .",0.7392410527855059
even.r.01,"As cells coalesced into organisms , they built new `` unnatural '' and internally controlled environments to cope even more successfully with the entropy increasing properties of the external world .",0.6561731226530092
even.r.01,There are certainly large areas of understanding in the human sciences which in themselves and even without political invention can help to dispel our present fears .,0.8010338410649703
even.r.01,Perhaps things were even worse then .,0.6283873761909805
even.r.01,"Yet often fear persists because , even with the most rigid ritual , one is never quite free from the uneasy feeling that one might make some mistake or that in every previous execution one had been unaware of the really decisive act .",0.7746482834986853
even.r.01,It is curious that even centuries of repetition of the yearly cycle did not induce a sufficient degree of confidence to allow people to abandon the ceremonies of the winter solstice .,0.7754536150259116
even.r.01,"Our collective policies , group and national , are similarly based on voodoo , but here we often lack even the empirically successful rituals and are still engaged in determining them .",0.8023916233932773
even.r.01,"Even in domains where detailed and predictive understanding is still lacking , but where some explanations are possible , as with lightning and weather and earthquakes , the appropriate kind of human action has been more adequately indicated .",0.764340640268951
even.r.01,"It appears that the dominant tendency of Mann 's early tales , however pictorial or even picturesque the surface , is already toward the symbolic , the emblematic , the expressionistic .",0.7851535828067956
even.r.01,"This is much smaller than the highest resolution of even the very large reflectors now under construction , and consequently the radio emission of different regions of the disk cannot be resolved .",0.7728149312458298
even.r.01,"Even here there is room for some variation , for metal surfaces vary in smoothness , absorptive capacity , and chemical reactivity .",0.7706557100446089
even.r.01,"A good formulation will keep the clothes clean and white after many washings ; whereas , with a poor formulation , the clothes exhibit a build-up of `` tattle-tale grey '' and dirty spots - sometimes with bad results even after the first wash .",0.7414500610952269
even.r.01,The soiled fabrics used for rapid testing of detergent formulations are made in such a way that only part of the soil is removed by even the best detergent formulation in a single wash .,0.7732866693136466
even.r.01,"Stains , which include the wide variety of nonparticulate materials which give color even when present in very low concentration on the soiled object .",0.7485360784369056
even.r.01,"Contrary to these expectations we have found it impossible to obtain the degree of reproducibility one would wish , even with extensive efforts to prepare especially pure reagents .",0.7533485846843033
even.r.01,"Even in the neighborhood of the Earth , where information has been obtained both directly and indirectly , the derived flux values vary by at least four orders of magnitude .",0.7435209594409738
even.r.01,"Beyond a few million kilometers from the Earth , but still in the region of the Earth 's orbit , a prediction of the flux of dust is even more unreliable .",0.639942770045383
